Protéines,Proteins|proteins,Légumes,Vegetables|vegetables,Légumineuses,Legumes|legumes,Féculents,Starch|starch,Épices / Herbes,Spices and Herbs|spices_and_herbs
Boeuf,Beef,Brocoli,Broccoli,Pois chiches,Chickpea,Pain,Bread,Curcuma,Curcuma
Poulet,Chicken,Carotte,Carrot,Haricot rouge,Kidney bean,Pâtes,Pasta,Pâte de curry,Curry paste
Cabillaud,Cod,Chou-fleur,Cauliflower,Lentilles,Lentils,Pomme de terre,Potato,Origan,Oregano
Boeuf haché,Ground beef,Concombre,Cucumber,Haricot blanc,Navy bean,Riz,Rice,Thym,Thyme
Agneau,Lamb,Aubergine,Eggplant,,,Semoule de blé,Semolina,,
Lotte,Monk fish,Fenouil,Fennel,,,Blé,Wheat,,
Porc,Pork,Ail,Garlic,,,Farine de blé,Wheat flour,,
Saumon,Salmon,Haricot vert,Green bean,,,,,,
Crevettes,Shrimps,Oignon,Onion,,,,,,
Saumon fumé,Smoked salmon,Echalotte,Shallot,,,,,,
Truite,Trout,Epinards,Spinach,,,,,,
Thon,Tuna,Tomate,Tomato,,,,,,
Dinde,Turkey,Courgette,Zucchini,,,,,,
Veau,Veal,,,,,,,,
